Document Name,Link to Source,Document Type,Judge/Author,Court Type,Country,State,Court,Date (MM/YYYY),Order Type,Case Types,AI Type?,AI Use Case for Filings?,Prohibited?,Disclose AI Use w/ Each Filing?,Disclose AI Tool Used?,Disclose How AI Tool Used?,Identify Sections Drafted with AI?,Disclose Process Used to Check Accuracy,All Parties Certify Accuracy or Non-Use on Notice of Appearance?,All Parties Certify Accuracy or Non-Use w/ each Filing?,"Certify Accuracy, if Planning to Use AI during Case?",Certify No Unauthorized Disclosure,"Certify Accuracy w/ Each Filing, only if AI Used?",Just a Warning to Follow Existing Court and Ethics Rules when using AI?,References Other Procedural Rules?,Maintain AI Prompt Records?,Proprietary / Confidential Info NonDisclosure Req?,Disclose Use of AI-Generated Evidence?,Provide Notice to Opposing Parties of AI-Generated Evidence?,Use of AI to Record in Courtroom?,Applies To,"Other Reqs, Notes"
Mandatory Certification Regarding Generative Artificial Intelligence,https://www.txnd.uscourts.gov/judge/judge-matthew-kacsmaryk,Standing Order,Judge Matthew J. Kacsmaryk,Federal,US,Texas,US DC Northern District of Texas,11/2023,Judge Level,Civil,Gen AI,Draft,,No,,,,,checked,No,,,,,No,,,,,,"Pro Se Litigants,Attorneys",Can move for leave if party believes a platform has requisite accuracy and reliability for legal briefing
In Re: Use of Unverified Sources,https://www.hid.uscourts.gov/cms/assets/23a3ee72-c96c-42c4-b184-e8a748a00f64/General%20Order%20on%20the%20Use%20of%20Unverified%20Sources.pdf,Standing Order,Chief Judge Derrick K. Watson; Judge Michael Seabright; Judge Leslie E. Kobayashi; Judge Jill A. Otake,Federal,US,Hawaii,US DC District of Hawaii,11/2023,Court Level,Civil,"Gen AI, excluding standard research tools",Generate Content,,Yes,,,,,,No,,,checked,,FRCP 11,,,,,,"Pro Se Litigants,Attorneys","Use of AI generated content is ""Reliance on Unverified Sources"" "
Disclosure and Certification Requirements - Generative Artificial Intelligence,https://www.hid.uscourts.gov/cms/assets/95f11dcf-7411-42d2-9ac2-92b2424519f6/AI%20Guidelines%20LEK.pdf,Standing Order,Judge Leslie E. Kobayashi,Federal,US,Hawaii,US DC District of Hawaii,11/2023,Judge Level,Civil,Gen AI,Draft,,Yes,checked,,,,,No,,,checked,,FRCP 11,,,,,,"Pro Se Litigants,Attorneys",Must disclose AI tool used
Guidance on Professional Responsibility and Generative AI,https://www.lawsociety.bc.ca/Website/media/Shared/docs/practice/resources/Professional-responsibility-and-AI.pdf,Policy/Guidelines,Law Society of British Columbia,State,Canada,,,11/2023,,,Gen AI,Use,,,,,,,,,,,,checked,,,,,,,Attorneys,
Standing Order Governing Civil Cases,https://www.ohsd.uscourts.gov/sites/ohsd/files/MJN%20Standing%20Civil%20Order%20eff.%2012.18.23.pdf,Standing Order,Judge Michael J. Newman,Federal,US,Ohio,US DC Southern District of Ohio,12/2023,Judge Level,Civil,"Any AI, excluding standard research tools",Prepare,checked,No,,,,,,No,,,,,No,,,,,,"Pro Se Litigants,Attorneys",
Notice to the Parties and the Profession: The Use of Artificial Intelligence in Court Proceedings,https://www.fct-cf.gc.ca/Content/assets/pdf/base/2023-12-20-notice-use-of-ai-in-court-proceedings.pdf,Court Rules (Notice),Chief Justice Paul S. Crampton,Federal,Canada,-,Federal Court of Canada,12/2023,National,N/A,Gen AI,"Generate Content,Create",,Yes,,,,,,No,,,,,No,,,,,,"Pro Se Litigants,Attorneys,Interveners","Court urgers ""Human in the loop"" verification"
Notice of Proposed Amendments to Local Rules,https://www.mied.uscourts.gov/PDFFIles/notice_proposed_LocalRules_amendments_12-2023.pdf,Proposed Rule Amendment,-,Federal,US,Michigan,US DC Eastern District of Michigan,12/2023,Court Level,Civil,Gen AI,Draft,,Yes,,,,,,No,,,checked,,No,,,,,,Any Parties,LR 5.1 Filing of Papers
Montez v Esparza Court Advisory Concerning Discovery and Other Matters,https://drive.google.com/file/d/12Rg4Bv6HS2v7L7PNh6SQ-QZvMXKHMVsZ/view,Court Order,Judge Fred Biery,Federal,US,Texas,US DC Western District of Texas,12/2023,Case Level,Civil,Any AI,Prepare,,No,,,,,,No,,,,checked,No,,,,,,Attorneys,
General Order Amending Local Rules,https://txed.uscourts.gov/sites/default/files/goFiles/GO%2023-11%20Amending%20Local%20Rules%20Effective%20December%201%2C%202023.pdf,Local Rule Amendment,Chief Judge Rodney Gilstrap,Federal,US,Texas,US DC Eastern District of Texas,12/2023,Court Level,Civil,Gen AI,Generate Content,,No,,,,,,No,,,,checked,FRCP 11,,,,,,"Pro Se Litigants,Attorneys","Rule CV-11 for Pro Se Litigants, Rule AT-3(m) for Attorneys"
Guidelines for Use of Generative Artificial Intelligence in Courts and Tribunals: Lawyers,https://www.courtsofnz.govt.nz/assets/6-Going-to-Court/practice-directions/practice-guidelines/all-benches/20231207-GenAI-Guidelines-Lawyers.pdf,Guidelines,Artificial Intelligence Advisory Group,Federal,New Zealand,-,Courts of New Zealand,12/2023,National,N/A,Gen AI,Use,,Court may require at discretion,,,,,,No,,,,checked,No,,checked,,,,Attorneys,"Guidance on AI use by lawyers (confidentiality, accuracy, ethics, disclosure)"
